No.,Time,Source,Destination,Protocol,Length,Info,,,,TIME 1 ,TIME 2,DELAY ,delay 2,delay 1,jitter
68,45.111927,192.168.100.41,TCP,54,80  >  52957 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,,
69,45.112238,192.168.100.41,TCP,54,"80  >  52957 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,,
70,45.113169,93.184.216.34,TCP,54,52957  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,,
71,45.115538,93.184.216.34,TCP,66,52958  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,
72,45.112238,93.184.216.34,192.168.100.41,TCP,62,"80  >  52958 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,
73,45.113169,192.168.100.41,93.184.216.34,TCP,54,52958  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,
74,45.115538,192.168.100.41,93.184.216.34,TCP,54,"52958  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,
75,45.115846,93.184.216.34,192.168.100.41,TCP,54,80  >  52958 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,
76,45.116045,93.184.216.34,192.168.100.41,TCP,54,"80  >  52958 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,
77,50.122526,192.168.100.41,93.184.216.34,TCP,54,52958  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,
78,50.125681,192.168.100.41,93.184.216.34,TCP,66,52959  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,
79,50.126002,93.184.216.34,192.168.100.41,TCP,62,"80  >  52959 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,
80,50.126602,192.168.100.41,93.184.216.34,TCP,54,52959  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,
81,50.130791,192.168.100.41,93.184.216.34,TCP,54,"52959  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,
82,50.1311,93.184.216.34,192.168.100.41,TCP,54,80  >  52959 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,
83,50.131301,93.184.216.34,192.168.100.41,TCP,54,"80  >  52959 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,
84,55.13616,192.168.100.41,93.184.216.34,TCP,54,52959  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,
85,55.13961,192.168.100.41,93.184.216.34,TCP,66,52960  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,
86,55.13992,93.184.216.34,192.168.100.41,TCP,62,"80  >  52960 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,
87,55.14083,192.168.100.41,93.184.216.34,TCP,54,52960  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,
88,55.142897,192.168.100.41,93.184.216.34,TCP,54,"52960  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,
89,55.143208,93.184.216.34,192.168.100.41,TCP,54,80  >  52960 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,
90,55.14341,93.184.216.34,192.168.100.41,TCP,54,"80  >  52960 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,
91,57.241042,192.168.100.41,93.184.216.34,TCP,54,52960  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,
92,57.301586,192.168.100.41,20.189.73.166,TCP,66,52961  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,
93,57.301911,20.189.73.166,192.168.100.41,TCP,66,"443  >  52961 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1",,,,,,,,,
